TSP,SO2,PB,CD
65.0,0.62,18.4,0.07
57.0,0.9,11.5,0.07
45.0,0.84,12.1,0.07
25.0,0.25,5.4,0.07
40.0,0.76,29.5,0.43
48.0,0.54,12.4,0.07
27.0,0.24,13.5,0.07
51.0,0.54,7.5,0.07
42.0,0.52,5.1,0.07
34.0,0.92,0.7,0.07
50.0,0.97,12.6,0.07
38.0,0.77,8.0,0.07
40.0,1.01,6.8,0.07
43.0,0.71,3.9,0.07
64.0,0.92,7.3,0.07
48.0,0.97,5.0,0.07
55.0,0.85,19.1,0.07
56.0,0.49,3.2,0.07
39.0,0.24,3.2,0.07
44.0,0.34,3.4,0.07
12.0,0.24,5.57,0.43
22.0,0.57,9.09,0.3
33.0,0.73,4.81,0.07
31.0,0.43,5.42,0.34
28.0,0.64,6.71,0.24
37.0,0.87,3.82,0.07
50.0,0.74,11.1,0.38
53.0,0.49,13.6,0.48
61.0,1.95,12.5,0.45
70.0,1.11,14.8,0.32
48.0,0.64,2.07,1.64
32.0,0.06,7.33,0.56
11.0,0.28,0.71,0.46
13.0,0.18,6.31,0.18
22.0,0.24,4.3,0.52
15.0,0.58,6.76,0.49
13.0,0.64,12.9,1.2
21.0,0.67,11.0,1.15
32.0,0.97,10.3,0.72
18.0,0.18,5.67,0.33
13.0,0.21,1.94,0.16
19.0,0.43,7.4,0.68
10.0,0.52,4.66,0.37
7.0,0.59,4.66,0.54
7.0,0.84,3.39,0.35
4.0,0.09,7.73,0.45
4.0,0.54,2.09,0.46
16.0,0.54,5.92,0.62
4.0,0.63,9.35,0.71
10.0,0.59,9.81,0.64
14.0,0.15,5.25,0.2
14.0,0.53,6.5,0.2
7.0,0.69,2.97,0.07
4.0,0.61,1.72,0.07
16.0,0.83,4.88,0.07
16.0,0.34,2.3,0.07
20.0,0.21,7.84,0.2
53.0,0.65,9.42,0.24
37.0,0.69,5.25,0.07
1.0,0.75,9.97,0.31
4.0,1.29,10.1,0.41
23.0,0.72,3.62,0.07
17.0,0.76,3.72,0.07
18.0,1.02,6.6,0.16
26.0,2.08,13.7,0.28
16.0,0.24,3.81,0.17
28.0,1.27,2.22,0.32
11.0,1.28,0.7,0.16
15.0,1.17,2.52,0.19
22.0,0.88,15.5,0.58
39.0,1.99,2.09,0.24
11.0,0.72,4.13,0.27
22.0,0.9,0.71,0.17
37.0,1.72,6.95,0.42
30.0,0.6,2.27,0.24
25.0,3.34,19.9,0.47
17.0,0.92,5.99,0.39
6.0,0.58,12.3,0.78
10.0,0.99,3.06,0.28
27.0,3.99,19.8,1.1
105.0,3.87,27.5,0.63
67.0,1.65,29.7,0.49
62.0,1.1,12.4,0.52
66.0,2.17,1.67,0.07
102.0,3.45,5.06,0.29
83.0,2.3,4.05,0.24
13.0,1.36,4.72,0.31
12.0,1.17,7.56,0.28
1.0,1.33,2.41,0.16
24.0,3.19,1.58,0.16
44.0,1.79,5.42,0.42
14.0,1.93,8.41,0.38
30.0,3.22,6.54,0.38
10.0,4.98,3.43,0.29
27.0,1.83,27.1,0.2
15.0,1.54,12.8,0.05
28.0,1.01,23.7,0.08
33.0,1.9,19.5,0.23
20.0,0.09,12.1,0.08
10.0,1.71,7.6,0.19
11.0,1.43,0.38,0.01
14.0,1.49,3.8,0.09
25.0,1.32,6.5,0.07
28.0,1.81,5.9,0.11
18.0,3.16,5.6,0.12
35.0,7.59,10.6,0.5
31.0,4.21,8.6,0.23
21.0,3.0,6.5,0.27
8.0,2.44,2.3,0.16
19.0,2.39,9.3,0.15
19.0,2.65,8.9,0.15
3.0,3.42,6.4,0.26
11.0,2.94,3.15,0.13
20.0,2.04,9.39,1.06
1.0,5.39,7.15,0.3
7.0,7.29,7.1,0.49
12.0,3.36,3.85,0.2
10.0,0.88,3.12,0.16
14.0,1.5,2.26,0.04
20.0,4.29,18.0,0.35
13.0,2.5,5.8,0.24
4.0,1.84,7.9,0.24
7.0,0.69,4.3,0.19
7.0,0.72,5.8,0.21
12.0,1.41,12.0,0.41
16.0,2.55,14.0,0.43
17.0,2.23,13.0,0.55
3.0,2.39,3.2,0.15
23.0,5.18,9.8,0.31
93.0,4.37,7.7,0.34
5.0,4.62,13.0,0.49
52.0,6.02,36.0,0.92
15.0,5.45,26.0,0.48
63.0,11.1,31.0,0.73
15.0,9.24,22.0,0.59
58.0,11.4,29.0,0.65
6.0,5.36,25.0,0.89
30.0,11.5,15.0,0.21
28.0,7.78,15.0,0.41
19.0,2.27,9.2,0.23
8.0,1.48,3.5,0.13
13.0,1.41,3.2,0.21
17.0,8.32,5.5,0.35
29.0,4.72,13.0,0.28
31.0,2.25,14.0,0.29
15.0,5.4,6.7,0.25
24.0,1.89,13.0,0.25
19.0,2.37,16.0,0.38
20.0,2.65,22.0,0.41
21.0,7.73,17.0,0.37
6.0,7.41,4.5,0.19
10.0,8.67,0.65,0.13
13.0,2.49,3.4,0.26
11.0,1.43,2.5,0.25
22.0,4.99,9.0,0.13
17.0,2.87,3.5,0.13
18.0,2.31,4.4,0.13
18.0,0.92,3.5,0.13
20.0,1.4,3.4,0.23
20.0,4.16,5.7,0.27
19.0,1.68,8.8,0.24
37.0,4.78,8.6,0.24
18.0,2.4,3.5,0.13
8.0,2.02,6.8,0.19
13.0,1.3,4.6,0.18
7.0,1.47,3.4,0.13
10.0,2.7,4.8,0.13
8.0,4.52,8.5,0.21
18.0,6.55,22.0,0.48
7.0,7.99,13.0,0.36
12.0,1.66,17.0,1.4
10.0,15.1,4.5,0.37
13.0,20.1,6.8,0.51
42.0,13.9,14.0,0.58
42.0,20.8,21.0,0.61
85.0,17.7,24.0,0.97
22.0,20.7,16.0,0.47
26.0,17.8,11.0,0.23
29.0,4.73,10.0,0.25
28.0,4.44,8.6,0.52
28.0,5.48,12.0,0.29
38.0,30.0,18.0,0.69
69.0,18.1,29.0,0.81
70.0,15.2,23.0,0.78
56.0,7.2,14.0,0.36
72.0,14.9,3.6,0.27
79.0,12.1,9.7,0.67
46.0,11.6,3.6,0.43
36.0,4.7,7.8,0.26
42.0,6.75,6.4,0.28
23.0,8.29,11.0,0.37
62.0,18.0,32.0,1.0
69.0,5.47,34.0,1.1
33.0,3.4,14.0,0.34
32.0,4.5,16.0,0.38
18.0,2.62,8.4,0.42
8.0,1.42,6.7,0.28
21.0,3.37,17.4,0.49
27.0,1.16,18.9,0.43
38.0,3.56,26.1,1.2
22.0,0.77,8.56,0.37
52.0,2.06,22.1,0.36
94.0,5.09,24.7,0.46
47.0,5.59,25.5,0.56
43.0,2.22,20.4,0.41
46.0,1.55,19.7,0.51
42.0,2.17,15.5,0.36
40.0,2.59,21.1,0.45
79.0,3.73,31.5,0.61
48.0,0.51,23.3,0.34
39.0,2.07,22.7,0.6
50.0,0.9,13.6,0.29
29.0,0.45,12.7,0.38
15.0,0.83,2.18,0.16
36.0,0.86,9.55,0.44
30.0,0.3,15.1,0.14
21.0,0.72,9.87,0.25
34.0,0.1,8.17,0.25
18.0,0.3,3.44,0.18
13.0,0.1,10.4,0.22
22.0,0.9,4.6,0.17
14.0,0.6,8.44,0.24
28.0,0.2,8.6,0.25
18.0,0.2,5.26,0.24
36.0,0.4,6.73,0.2
88.0,0.5,15.0,0.47
129.0,0.33,18.3,0.72
162.0,0.21,9.03,0.28
78.0,0.13,11.8,0.34
52.0,0.18,9.71,0.19
49.0,0.13,5.93,0.18
62.0,0.08,5.84,0.14
89.0,0.23,15.1,0.36
56.0,0.45,5.74,0.11
40.0,0.23,3.52,0.1
52.0,0.24,5.83,0.14
63.0,0.22,8.51,0.38
78.0,0.27,14.4,0.32
55.0,0.05,5.24,0.21
68.0,0.28,2.4,0.17
73.0,0.39,9.04,0.23
71.0,0.26,8.09,0.26
70.0,0.76,7.46,0.25
42.0,0.11,10.3,0.13
36.0,0.3,12.8,0.18
22.0,0.07,6.04,0.16
39.0,0.65,4.42,0.07
38.0,0.83,1.3,0.07
29.0,0.54,1.75,0.37
92.0,2.32,8.52,0.28
68.0,5.34,10.8,0.33
49.0,1.51,11.2,0.35
64.0,3.71,13.9,0.32
36.0,0.44,18.9,0.5
29.0,0.19,10.9,0.24
54.0,0.04,2.54,0.29
44.0,0.42,4.53,0.29
52.0,0.19,3.92,0.23
71.0,0.45,4.56,0.22
72.0,0.86,9.88,0.3
61.0,0.63,7.66,0.34
41.0,0.28,2.8,0.22
40.0,0.29,2.65,0.34
54.0,0.91,3.88,0.2
70.0,1.07,8.08,0.29
37.0,0.36,3.64,0.21
33.0,0.16,2.66,0.22
30.0,1.61,3.34,0.19
58.0,0.25,2.05,0.21
85.0,1.97,16.5,0.37
91.0,0.3,15.3,0.62
48.0,0.66,11.4,0.32
54.0,0.43,7.98,0.21
25.0,0.12,7.12,0.92
16.0,0.07,5.02,0.63
6.0,0.6,8.39,0.29
47.0,1.18,7.13,0.34
63.0,0.96,10.8,0.41
3.0,0.21,5.81,0.25
14.0,1.18,8.22,0.34
56.0,1.82,8.02,0.35
40.0,1.16,11.7,0.41
25.0,0.92,8.66,0.3
41.0,1.34,11.0,0.37
40.0,0.68,10.1,0.3
22.0,0.9,9.59,1.17
36.0,1.16,13.7,0.69
27.0,0.73,7.45,0.42
22.0,0.62,4.81,0.22
17.0,0.38,3.67,0.31
16.0,0.27,1.01,0.3
20.0,0.3,2.63,0.15
30.0,0.23,6.18,0.25
44.0,0.08,6.96,0.25
37.0,0.03,4.16,0.18
30.0,0.17,3.22,0.45
37.0,0.31,4.22,0.23
48.0,0.62,3.97,0.23
40.0,0.09,4.1,0.22
50.0,0.07,2.93,0.17
38.0,0.46,3.27,0.15
47.0,0.4,4.57,0.26
47.0,0.6,4.34,0.2
27.0,0.1,5.08,0.39
32.0,0.11,7.43,0.21
28.0,1.69,8.58,0.36
16.0,0.16,2.07,0.43
31.0,0.1,1.79,0.19
43.0,0.18,2.96,0.3
26.0,1.18,8.88,0.32
18.0,0.18,5.29,0.22
29.0,0.66,6.83,0.38
45.0,0.73,6.28,0.28
40.0,0.22,4.57,0.26
59.0,0.42,11.8,0.19
47.0,0.21,7.23,0.25
31.0,0.06,5.86,0.22
46.0,0.26,8.2,0.25
45.0,0.21,4.36,0.19
69.0,0.24,15.0,0.34
33.0,0.1,4.28,0.51
52.0,0.32,4.61,0.21
83.0,1.21,6.35,0.21
92.0,0.8,11.2,0.3
83.0,0.23,10.3,0.39
33.0,0.025,2.42,0.32
37.0,0.025,6.05,0.36
17.0,0.35,9.28,0.3
24.0,0.15,12.5,0.31
14.0,0.05,3.19,0.18
42.0,0.95,8.27,0.21
17.0,0.025,7.12,0.23
21.0,0.12,6.84,0.36
23.0,0.39,10.6,0.33
17.0,0.13,7.53,0.23
1.0,0.2,7.83,0.28
12.0,0.26,5.65,0.17
15.0,0.34,7.29,0.21
21.0,0.24,6.59,0.21
25.0,0.31,3.3,0.15
23.0,0.27,2.21,0.16
8.0,0.66,7.87,0.15
13.0,0.64,5.66,0.18
1.0,0.2,2.14,0.14
10.0,0.17,2.56,0.14
14.0,0.18,4.52,0.15
68.0,2.65,19.1,0.44
22.0,0.63,8.54,0.29
14.0,0.27,4.06,0.14
10.0,0.025,5.56,0.18
15.0,0.31,5.08,0.14
37.0,1.77,13.7,0.28
24.0,0.07,16.5,0.18
12.0,0.92,12.9,0.32
6.0,0.82,8.32,0.23
11.0,2.44,11.6,0.2
11.0,0.15,14.7,0.24
42.0,0.21,3.83,0.18
53.0,0.16,8.64,0.19
67.0,0.42,16.7,0.4
69.0,2.8,16.7,0.34
85.0,1.13,27.5,0.86
66.0,1.6,14.7,0.37
59.0,0.025,2.16,0.21
41.0,2.16,10.6,0.32
84.0,4.05,23.4,0.51
58.0,2.25,7.98,0.3
11.0,0.13,8.69,0.16
17.0,0.82,2.36,0.14
30.0,0.81,9.68,0.27
44.0,0.42,8.66,0.19
67.0,0.29,16.2,0.32
57.0,1.57,10.9,0.57
43.0,4.54,8.06,0.38
57.0,1.66,12.6,0.32
36.0,0.31,11.8,0.24
56.0,0.51,2.82,0.28
50.0,0.87,10.8,0.36
58.0,2.97,16.1,0.33
40.0,0.62,7.77,0.21
22.0,1.08,10.2,0.32
11.0,0.05,5.39,0.15
24.0,0.77,12.1,0.35
2.0,1.35,4.93,0.16
13.0,1.6,9.96,0.19
19.0,0.79,10.2,0.24
17.0,1.16,6.6,0.15
11.0,0.95,7.23,0.14
5.0,1.04,2.4,0.15
116.0,3.29,4.75,0.2
13.0,8.09,13.7,0.43
37.0,11.6,9.64,0.19
24.0,6.87,11.5,0.38
24.0,7.32,9.67,0.18
21.0,3.62,5.95,0.19
25.0,2.17,6.1,0.13
22.0,0.47,7.83,0.16
47.0,2.68,2.74,0.18
48.0,2.86,11.3,0.23
21.0,2.79,15.0,0.35
14.0,0.21,5.62,0.13
14.0,1.43,6.97,0.28
16.0,1.29,4.47,0.13
20.0,8.07,12.6,0.28
32.0,3.34,16.4,0.33
23.0,0.8,7.7,0.2
29.0,1.83,3.98,0.13
21.0,7.55,8.7,0.13
24.0,1.95,17.8,0.33
13.0,0.48,6.88,0.17
20.0,1.48,7.78,0.48
16.0,2.02,3.87,0.19
18.0,1.98,4.78,0.19
13.0,1.18,4.46,0.25
9.0,0.31,2.34,0.14
14.0,0.18,1.45,0.13
10.0,0.25,2.18,0.16
10.0,0.86,3.18,0.18
24.0,1.36,5.35,0.13
11.0,0.81,2.75,0.13
6.0,0.69,1.56,0.13
8.0,0.84,1.5,0.13
3.0,2.3,1.31,0.13
9.0,1.38,3.52,0.13
8.0,5.2,3.65,0.27
11.0,2.51,3.87,0.19
12.0,6.54,8.22,0.32
15.0,4.47,16.5,0.69
47.0,4.61,10.8,0.57
10.0,2.72,1.79,0.14
7.0,1.75,2.7,0.18
5.0,2.39,1.03,0.16
11.0,2.35,2.33,0.2
15.0,0.78,2.64,0.19
11.0,0.75,0.6,0.13
14.0,1.41,1.19,0.13
45.0,0.84,5.24,0.3
31.0,5.37,7.36,0.49
38.0,7.94,7.39,0.26
22.0,4.63,7.4,0.16
12.0,1.06,1.02,0.14
25.0,3.9,6.18,0.15
20.0,3.18,4.58,0.16
23.0,1.92,4.68,0.13
7.0,7.89,3.83,0.29
12.0,4.46,4.56,0.21
15.0,7.17,2.98,0.25
12.0,4.93,4.88,0.16
7.0,1.48,2.19,0.15
23.0,4.17,3.37,0.13
29.0,6.46,10.5,0.22
37.0,8.24,9.83,0.21
20.0,3.44,2.26,0.07
22.0,2.16,5.63,0.07
20.0,1.01,3.13,0.07
9.0,1.06,2.85,0.07
15.0,1.77,2.96,0.07
23.0,3.48,7.27,0.16
35.0,8.43,19.0,0.33
1.0,4.64,2.94,0.07
1.0,6.1,3.4,0.07
3.0,4.48,2.59,0.07
4.0,2.31,2.3,0.07
20.0,6.85,9.89,0.28
19.0,6.4,3.42,0.15
28.0,16.1,10.3,0.26
23.0,18.1,10.5,0.18
15.0,14.3,6.5,0.17
41.0,22.4,13.4,0.29
29.0,5.83,3.67,0.15
24.0,2.88,1.85,0.07
30.0,4.35,3.29,0.07
13.0,0.36,2.83,0.15
26.0,0.96,4.37,0.07
24.0,4.32,9.3,0.22
24.0,2.18,8.01,0.23
25.0,1.34,4.22,0.07
19.0,0.57,4.52,0.07
15.0,4.04,3.33,0.14
26.0,3.54,10.1,0.07
28.0,3.43,6.54,0.16
41.0,6.05,16.0,0.34
61.0,8.47,14.0,0.32
44.0,8.82,24.2,0.41
28.0,7.53,12.9,0.21
9.0,3.35,8.25,0.15
29.0,4.61,12.0,0.15
7.0,3.07,6.91,0.26
6.0,2.56,4.2,0.07
6.0,5.14,5.59,0.07
11.0,4.69,12.3,0.25
18.0,3.21,11.3,0.21
5.0,1.0,5.44,0.2
3.0,0.87,5.83,0.07
1.0,2.84,3.98,0.07
10.0,7.54,8.92,0.14
26.0,3.31,7.4,0.14
32.0,9.88,14.0,0.32
12.0,8.47,10.2,0.24
32.0,10.6,20.2,0.42
25.0,13.1,14.1,0.39
25.0,10.2,10.4,0.22
57.0,14.9,29.8,0.39
32.0,4.21,10.4,0.25
7.0,1.35,3.32,0.07
13.0,0.8,6.63,0.14
24.0,3.34,11.7,0.25
16.0,0.61,3.64,0.17
25.0,1.17,8.06,0.15
28.0,1.24,6.73,0.07
38.0,1.13,12.3,0.35
20.0,2.48,10.8,0.36
41.0,3.45,16.1,0.58
58.0,3.37,15.0,0.36
53.0,2.83,5.49,0.19
67.0,2.19,12.6,0.3
23.0,1.33,7.33,0.07
77.0,4.33,16.0,0.38
52.0,6.43,14.7,0.3
57.0,1.36,21.9,0.32
44.0,2.96,18.1,0.23
19.0,3.6,3.25,0.07
24.0,4.71,5.15,0.07
25.0,4.64,8.14,0.15
26.0,17.2,9.79,0.2
28.0,8.96,12.6,0.35
69.0,8.65,21.3,0.25
61.0,1.86,14.9,0.36
43.0,4.81,13.7,0.3
58.0,3.95,15.1,0.32
55.0,2.96,16.0,0.27
57.0,4.78,19.8,0.27
69.0,6.59,12.7,0.16
54.0,5.58,16.4,0.32
72.0,12.9,16.3,0.38
17.0,3.5,10.8,0.2
35.0,0.41,6.83,0.07
31.0,0.29,8.8,0.21
36.0,0.025,6.72,0.31
62.0,2.73,12.5,0.23
51.0,0.49,13.0,0.26
62.0,0.9,11.1,0.28
4.0,1.2,9.66,0.26
5.0,1.54,10.4,0.3
3.0,0.53,3.12,0.07
31.0,0.2,8.29,0.23
30.0,0.45,4.08,0.19
26.0,0.46,3.89,0.18
22.0,0.11,6.92,0.15
26.0,0.25,1.26,0.07
23.0,0.2,3.09,0.07
33.0,0.47,4.5,0.17
4.0,1.46,4.58,0.07
36.0,0.91,5.52,0.23
41.0,0.43,6.39,0.25
40.0,0.19,18.7,0.61
41.0,1.51,11.8,0.44
28.0,0.56,6.26,0.29
41.0,0.53,11.1,0.33
55.0,2.05,12.3,0.4
78.0,1.29,14.4,0.89
101.0,0.68,12.6,0.65
69.0,1.62,6.66,0.39
50.0,0.06,4.34,0.21
52.0,0.39,5.86,0.25
63.0,0.44,7.43,0.36
74.0,0.19,6.22,0.19
98.0,0.86,7.0,0.24
50.0,0.41,4.59,0.16
51.0,0.23,2.8,0.17
57.0,0.67,4.47,0.11
17.0,0.23,3.79,0.15
24.0,1.13,5.19,0.12
32.0,1.32,11.3,0.4
27.0,0.55,5.48,0.2
40.0,0.68,4.65,0.27
59.0,0.38,7.32,0.22
49.0,0.19,7.79,0.24
55.0,0.33,5.15,0.22
26.0,1.76,4.2,0.19
22.0,0.88,4.9,0.18
12.0,0.41,5.33,0.19
15.0,0.34,3.83,0.14
37.0,2.21,6.22,0.26
41.0,3.02,9.36,0.39
75.0,1.35,7.23,0.29
50.0,0.28,6.09,0.2
51.0,0.27,6.35,0.2
67.0,0.39,7.56,0.28
99.0,0.09,8.63,0.39
100.0,0.06,7.41,0.16
73.0,0.21,9.66,0.23
69.0,0.12,5.33,0.15
66.0,0.31,7.05,0.21
68.0,0.27,8.38,0.28
60.0,0.24,8.01,0.21
53.0,0.23,5.41,0.2
70.0,0.16,6.43,0.18
29.0,0.13,4.11,0.17
44.0,0.23,6.31,0.2
32.0,0.75,6.58,0.19
43.0,0.38,4.43,0.18
37.0,0.32,4.93,0.07
40.0,0.32,3.58,0.07
36.0,0.22,7.99,0.17
41.0,0.34,7.23,0.16
37.0,0.25,7.13,0.19
50.0,0.22,4.93,0.21
51.0,0.25,8.32,0.26
48.0,0.11,10.9,0.25
47.0,0.1,5.73,0.07
33.0,0.03,3.23,0.07
35.0,0.04,4.43,0.18
29.0,0.05,5.82,0.38
37.0,0.18,8.08,0.82
52.0,0.24,10.9,0.37
29.0,0.1,9.14,0.25
24.0,0.04,4.51,0.27
36.0,0.07,5.91,0.16
44.0,0.04,6.21,0.19
13.0,0.025,8.85,0.25
20.0,0.08,13.1,0.33
24.0,0.26,8.15,0.22
37.0,0.08,9.57,0.17
41.0,0.025,10.9,0.21
39.0,0.17,6.82,0.14
37.0,0.23,8.75,0.17
34.0,0.26,5.58,0.14
33.0,0.025,6.32,0.17
43.0,0.2,6.59,0.12
65.0,0.44,14.3,0.23
86.0,0.34,15.9,0.38
38.0,0.16,7.79,0.27
37.0,0.29,6.93,0.15
83.0,0.26,15.1,0.26
82.0,0.35,22.8,0.34
115.0,0.21,13.1,0.38
73.0,0.18,7.88,0.24
62.0,0.42,6.41,0.13
36.0,0.025,2.44,0.08
38.0,0.09,6.78,0.35
39.0,0.16,8.33,0.31
48.0,0.15,7.46,0.22
59.0,0.09,10.5,0.17
43.0,0.12,6.16,0.15
16.0,0.08,2.88,0.09
33.0,0.2,6.11,0.17
83.0,1.31,16.9,0.24
70.0,0.84,17.1,0.32
56.0,0.76,11.0,0.22
96.0,0.87,10.8,0.13
31.0,0.14,7.07,0.11
42.0,0.17,11.1,0.23
70.0,1.25,14.4,0.28
135.0,0.93,7.8,0.17
50.0,0.35,5.76,0.13
70.0,0.22,11.3,0.19
17.0,0.13,7.47,0.23
79.0,0.14,6.24,0.21
72.0,0.12,15.7,0.51
60.0,0.32,6.77,0.25
62.0,0.08,4.99,0.14
53.0,0.1,3.03,0.1
74.0,0.34,7.77,0.16
68.0,0.83,14.1,0.23
49.0,0.15,7.5,0.13
45.0,0.75,8.18,0.23
46.0,0.2,11.8,0.45
43.0,0.13,8.6,0.48
46.0,0.14,11.6,0.46
52.0,0.36,28.0,1.0
31.0,0.33,7.41,0.21
28.0,0.17,4.19,0.24
48.0,0.49,11.8,0.32
62.0,0.18,11.9,0.49
17.0,0.3,5.14,0.21
38.0,1.67,10.6,0.2
18.0,0.28,11.0,0.12
27.0,0.34,6.77,0.2
34.0,0.6,11.7,0.38
12.0,0.07,4.39,0.08
48.0,0.34,10.3,0.4
21.0,0.15,5.74,0.26
34.0,0.16,4.48,0.29
22.0,0.1,3.98,0.29
12.0,0.17,2.05,0.21
16.0,0.18,2.26,0.25
16.0,0.26,3.12,0.41
25.0,0.93,5.89,0.16
41.0,2.13,10.2,0.43
42.0,2.1,6.71,0.13
30.0,2.29,16.0,0.19
26.0,0.55,11.5,0.24
22.0,0.21,7.08,0.11
17.0,0.26,2.47,0.07
31.0,1.36,2.6,0.12
48.0,0.66,2.99,0.21
16.0,1.58,4.87,0.15
20.0,0.46,4.22,0.21
11.0,0.99,3.8,0.18
22.0,1.33,5.52,0.16
13.0,0.05,1.72,0.07
86.0,0.09,3.98,0.21
6.0,0.39,2.24,0.1
18.0,2.13,4.15,0.13
13.0,0.79,4.49,0.13
18.0,0.19,3.64,0.07
9.0,0.07,2.0,0.17
13.0,0.2,3.21,0.1
6.0,0.11,5.68,0.13
10.0,0.56,2.11,0.22
18.0,1.19,4.08,0.17
10.0,1.05,8.59,0.26
13.0,7.53,13.6,0.88
13.0,3.38,10.2,0.45
3.0,2.32,6.98,0.36
29.0,1.39,4.29,0.25
26.0,4.25,3.83,0.24
29.0,2.37,5.49,0.27
57.0,0.26,14.8,0.42
23.0,0.22,7.36,0.2
37.0,1.23,4.11,0.23
36.0,0.52,8.12,0.14
25.0,0.18,3.8,0.16
4.0,0.005,4.94,0.18
5.0,0.54,5.79,0.34
7.0,0.45,8.86,0.39
2.0,0.3,3.85,0.15
4.0,0.45,5.92,0.25
5.0,0.65,4.53,0.21
1.0,1.17,5.24,0.1
2.0,1.45,5.7,0.26
8.0,1.53,7.29,0.26
1.0,4.15,3.98,0.12
10.0,5.0,4.4,0.14
7.0,2.12,5.09,0.28
16.0,1.0,5.83,0.15
1.0,0.3,3.7,0.28
17.0,0.3,2.54,0.2
53.0,0.2,3.97,0.23
1.0,1.29,4.2,0.24
1.0,6.35,2.6,0.23
7.0,3.66,2.74,0.29
16.0,8.74,5.32,0.35
19.0,6.19,6.37,0.31
56.0,9.24,10.6,0.33
35.0,6.6,8.7,0.34
49.0,10.1,17.6,0.65
42.0,6.85,10.3,0.46
29.0,4.01,7.43,0.34
30.0,12.3,8.38,0.33
17.0,9.48,11.7,0.41
15.0,3.24,9.38,0.49
28.0,7.04,12.5,0.6
29.0,8.74,14.3,0.49
20.0,4.36,19.8,0.57
47.0,7.22,25.2,0.45
40.0,4.61,21.3,0.52
56.0,10.1,23.3,1.15
24.0,1.5,19.5,0.65
34.0,4.34,17.4,0.51
34.0,2.76,13.3,0.35
31.0,4.67,16.4,0.7
26.0,4.15,7.66,0.18
50.0,2.46,2.29,0.08
50.0,2.59,5.32,0.09
36.0,4.52,4.27,0.08
48.0,3.28,4.93,0.13
67.0,2.58,15.6,0.33
69.0,3.36,16.2,0.2
64.0,8.48,17.2,0.4
49.0,1.86,2.88,0.08
35.0,3.41,2.95,0.06
29.0,3.31,6.06,0.09
35.0,3.58,2.32,0.11
47.0,2.74,7.47,0.22
23.0,1.57,5.55,0.13
19.0,0.95,8.67,0.15
25.0,0.71,4.59,0.12
39.0,2.33,14.4,0.27
13.0,7.62,7.09,0.18
12.0,7.27,6.34,1.19
39.0,1.2,10.4,0.44
36.0,2.2,7.62,0.18
21.0,5.78,10.2,0.139
